id;cliente;accion_id;accion;cantidad_actual;observaciones
1;6547;32423;vapid;1384;next moisten
2;8837;16395;phooey daisy immediately;22374;dreamily terrible defiant
3;29713;21691;unlike during;23916;separation
4;13442;25657;dark gently;540;clean card
5;12136;29769;purl nor;4474;happily yahoo
6;20638;3469;while dissonance sherry;19573;besides yieldingly
7;24762;4768;punish wherever brr;14604;genuine
8;23973;9833;wreck favorable ouch;26625;delightfully anenst
9;23810;18345;nearly;9161;ouch instead
10;21196;25211;damp;28534;frenetically ack environment
