id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo;operacion_exitosa;operacion_observaciones
1;18917;5301;harmful honeymoon strictly;gondola;24989.69;25113;2023-12-13T13:01:01;gee glistening gee;true;doubter mealy while
2;8510;28158;instantly;standardize who besides;2550.81;1281;2023-12-13T13:24:14;ew;true;scupper
3;26298;32189;impart sorrow;down;14572.72;13629;2023-12-12T21:21:33;hastily damaged;true;prime boar recent
4;9422;10025;measly meanwhile;clan hardening content;14823.49;26479;2023-12-13T09:27:37;as gently;false;yum
5;2005;24141;promenade eyrie gosh;what along;12335.43;10375;2023-12-13T03:54:45;liquid;false;miserably willfully nautical
6;30935;9202;making;glut foster;18820.56;29762;2023-12-13T13:35:34;better;true;resign yippee fiberglass
7;21649;27214;miss;max;9451.52;7497;2023-12-13T08:13:22;transcend meanwhile phooey;true;what alley ah
8;23275;26590;fully;ah;24634.91;2213;2023-12-12T23:33:31;blissful of or;false;ouch intently
9;9013;13507;fooey;partially inside above;16020.37;9075;2023-12-13T00:40:25;whoa;false;partnership gladly carelessly
10;29579;12711;immense horrible;yet;24184.98;30933;2023-12-13T01:56:18;localize after suspenders;true;bah entitle great
